diameter_nm,transmission,transmission_amplitude_real,transmission_amplitude_imag,transmission_phase_rad,transmission_phase_unwrapped_rad
192.0,0.9943945139004308,-1.0807668673969586,0.3630335006491587,2.8175306297229437,2.8175306297229437
197.0612244897959,0.9922638138683878,-1.1093117280908806,0.24787668083699296,2.9217531750771317,2.9217531750771317
202.12244897959184,0.9892407270429098,-1.129266901013288,0.08606494819119183,3.065526586200568,3.065526586200568
207.18367346938777,0.9860534245926242,-1.1254656192526398,-0.09345865905366345,-3.0587427443772484,3.224442562802338
212.24489795918367,0.9837421260408187,-1.1016032151420743,-0.2405163550193624,-2.9266329281030643,3.356552379076522
217.30612244897958,0.9813155721836522,-1.051767779620348,-0.39864863630669223,-2.7792959374969404,3.503889369682646
222.3673469387755,0.9780224235064046,-0.9603980164091626,-0.5669259196960647,-2.6083337433991085,3.6748515637804777
227.42857142857144,0.9780210139207716,-0.874513425338136,-0.6966825017154855,-2.4688967685961476,3.8142885385834386
232.48979591836735,0.9788598199704858,-0.752932753326808,-0.830817040316557,-2.307056934906399,3.976128372273187
237.55102040816325,0.9807165158700409,-0.6084913710277954,-0.9433471822842653,-2.143672857944864,4.139512449234722
242.6122448979592,0.9834654961994369,-0.46364413130000726,-1.0211736327607455,-1.9969970865874016,4.286188220592185
247.67346938775512,0.9878701157615065,-0.28450258535240447,-1.0798156894225364,-1.828414980967564,4.454770326212023
252.73469387755102,0.9926985339022719,-0.11910866643909757,-1.100394264523227,-1.678618352641063,4.604566954538523
257.7959183673469,0.9968173787822996,0.024573615767476374,-1.091843884146008,-1.548293597072913,4.734891710106673
262.8571428571429,0.9993522490285373,0.18002940569976145,-1.0519956557051149,-1.4013068319134512,4.881878475266135
267.9183673469388,0.9971838865382571,0.29810415521822226,-0.9974889771400954,-1.2803907019227367,5.00279460525685
272.9795918367347,0.9905359402238204,0.38588837239823504,-0.9416984111868183,-1.181888180015575,5.1012971271640115
278.0408163265306,0.9789752242615053,0.4691616336221373,-0.8798084427228848,-1.0809005351501961,5.20228477202939
283.1020408163265,0.9663328978150842,0.5398335165850032,-0.8231088610812394,-0.9903216792271691,5.292863627952417
288.16326530612247,0.9538606363395777,0.6050826370200855,-0.7665401859566063,-0.9025717410162822,5.380613566163304
293.2244897959184,0.9436460696498705,0.6645807565601816,-0.7090700251156078,-0.8177744581217798,5.465410849057807
298.2857142857143,0.9361320384010544,0.7210557891561693,-0.6419723766318469,-0.7274427578378957,5.555742549341691
303.34693877551024,0.9314909883565824,0.7713706538017114,-0.5536552971337609,-0.6225430797399611,5.6606422274396255
308.40816326530614,0.9300645728753411,0.7868067758626801,-0.4531581731401598,-0.5225448930238026,5.760640414155784
313.46938775510205,0.9236220055200502,0.7262184964997757,-0.375698713487753,-0.477419747718514,5.805765559461072
318.53061224489795,0.906429986946727,0.6952698854111895,-0.4228982659227562,-0.5464639800938266,5.7367213270857595
323.59183673469386,0.9046327698203116,0.7528844418020895,-0.42713113870153446,-0.516048162098033,5.767137145081553
328.6530612244898,0.9099776865029962,0.800246792600787,-0.39585024720312967,-0.4593666600741923,5.823818647105394
333.7142857142857,0.9211400572807141,0.8353478495433689,-0.3551513995477865,-0.402000998409082,5.8811843087705045
338.7755102040816,0.9355486478557006,0.8592810692533241,-0.3256404652397723,-0.362245363156141,5.920939944023445
343.8367346938776,0.9541501854215282,0.8933739928758201,-0.30075860155952877,-0.32473684824549487,5.958448458934091
348.8979591836735,0.9693571308837761,0.9396621020172782,-0.2778911157564857,-0.2875395129157006,5.995645794263885
353.9591836734694,0.9781443932903321,1.0004019096963421,-0.24136991467817173,-0.23674824898987293,6.0464370581897136
359.0204081632653,0.9766050119283409,1.066611370352411,-0.1688699954544506,-0.15702050337572498,6.126164803803861
364.0816326530612,0.969380907216481,1.1103256033293045,-0.0769816950249989,-0.06922176610009845,6.213963541079488
369.14285714285717,0.9633282537193534,1.128773342870177,0.0054233415630969605,0.004804595950308324,6.287989903129895
374.2040816326531,0.9583761015182183,1.1331004939505616,0.10759597396481244,0.09467326193260554,6.377858569112192
379.265306122449,0.9567889049295596,1.1232362492965213,0.1967828095136055,0.17343265002988267,6.456617957209469
384.32653061224494,0.9574944101478327,1.103523265739123,0.2786504070265058,0.2473394019691908,6.530524709148777
389.38775510204084,0.9601420077635223,1.0748796599728332,0.3558880910251597,0.3197353826112157,6.6029206897908015
394.44897959183675,0.9645552870702159,1.0371191226581857,0.4279609455567354,0.39135860231248176,6.674543909492068
399.51020408163265,0.970245992064416,0.9916843825898521,0.4955971254178801,0.4634498927879432,6.746635199967529
404.57142857142856,0.9742851615346529,0.9568775047920194,0.5432114076442298,0.5163245459193455,6.7995098530989315
409.6326530612245,0.9773830303115236,0.9175028891249885,0.6027960424533015,0.5812778506123699,6.864463157791956
414.6938775510204,0.9780615624699386,0.8773203752430264,0.6673284554533752,0.6502785204249191,6.9334638276045055
419.7551020408163,0.9773385901931019,0.8387232787562231,0.7280634630968146,0.7148867422601733,6.9980720494397595
424.8163265306123,0.9761338116071637,0.7951988253343638,0.7876074847365682,0.7806020728443337,7.0637873800239195
429.8775510204082,0.9742009787157422,0.7288334654320034,0.8639496160211906,0.8700257804604985,7.153211087640084
434.9387755102041,0.9719318909864936,0.6637420883166237,0.9229912736836464,0.9473526420820132,7.230537949261599
440.0,0.9680364190932442,0.5833540623137786,0.9796971134383928,1.0337340927589544,7.3169193999385405
